date,day_start_ts_s,price_open_usd,price_high_usd,price_low_usd,price_close_usd,market_cap_close_usd,volume_24h_close_usd
2025-01-14,1736812800.0,3136.134992657647,3244.4255393029703,3131.2168788217527,3236.085067487854,389948669986.36505,22777907177.957466
2025-01-15,1736899200.0,3224.311621799453,3439.3676041736444,3197.3049019080495,3429.7028639778664,413241798927.97266,25424441186.93285
2025-01-16,1736985600.0,3454.324754277295,3454.324754277295,3275.419175646765,3302.003952562429,397545574377.26074,25935233240.221268
2025-01-17,1737072000.0,3306.8156612326384,3508.6807091170563,3306.8156612326384,3469.512644451865,418900469256.8729,28344380345.818764
2025-01-18,1737158400.0,3475.543290362819,3489.1560678207506,3257.940375144288,3281.0938882360415,395465872955.06177,31715679888.167843
2025-01-19,1737244800.0,3306.5974815912537,3439.7786672354737,3138.3517813877743,3256.0981444137906,391478256366.24426,56732500753.28322
2025-01-20,1737331200.0,3202.871407181103,3405.0813587024386,3165.537451067419,3312.7838086527117,399825830531.34814,57415799054.03828
2025-01-21,1737417600.0,3277.389476653469,3346.2499028970174,3218.443345041415,3336.4507867282746,402427529895.0786,33639013379.558273
2025-01-22,1737504000.0,3327.0818710455474,3358.5497694362957,3243.9763434569513,3243.9763434569513,391105018258.22565,22142778853.676674
2025-01-23,1737590400.0,3238.016282192183,3319.6428508115,3191.4898822784166,3319.6428508115,399420008387.5254,33404085518.138065
2025-01-24,1737676800.0,3332.580893146162,3406.1715098838736,3285.1156332489636,3325.1683626311296,401126679226.4659,26806926749.89928
2025-01-25,1737763200.0,3311.5508041263997,3343.510235208843,3275.9490611279393,3334.839304245218,401794547271.836,12558089098.714209
2025-01-26,1737849600.0,3317.7491699951247,3349.9061062538226,3289.5012094314807,3289.5012094314807,397021532104.7681,11918604965.614542
2025-01-27,1737936000.0,3236.6656039704103,3236.6656039704103,3036.4867780905956,3174.166459712812,382833876311.9549,41480784507.93916
2025-01-28,1738022400.0,3179.8911263520895,3211.649761892457,3062.0439368460593,3083.821425419617,371171680636.9935,19736796968.169086
2025-01-29,1738108800.0,3077.9220012612527,3155.4935796109608,3077.9220012612527,3134.723385089722,377977294246.42664,22562434332.514645
2025-01-30,1738195200.0,3112.973706322043,3274.8295666005865,3112.973706322043,3262.0111589484236,393045299024.39685,18640653201.061382
2025-01-31,1738281600.0,3246.117188628738,3422.1928971455222,3215.8239546643,3294.4035821749785,396379201390.677,31181160654.236816
2025-02-01,1738368000.0,3298.5292384592553,3316.9787661512464,3134.046170830302,3134.046170830302,377782741515.06177,18471785270.867393
2025-02-02,1738454400.0,3118.432045916739,3151.643048498208,2867.293929480726,2867.293929480726,344917903222.8031,40801722970.42735
2025-02-03,1738540800.0,2866.253573805174,2877.323838512928,2460.547384197523,2877.323838512928,346887599247.6968,103669365632.16615
2025-02-04,1738627200.0,2880.281763705476,2880.281763705476,2645.8816807828066,2684.963929184192,323176630527.3779,52089744646.48135
2025-02-05,1738713600.0,2734.763245293648,2819.5336350724674,2723.377163402609,2760.4375740434343,332684473017.77,33576203607.006065
2025-02-06,1738800000.0,2789.6216110636838,2851.763153833254,2692.2500258766086,2701.3408316062055,325613761758.5452,30771867183.01934
2025-02-07,1738886400.0,2687.8133604171308,2779.5499529192684,2585.207296623361,2585.207296623361,310894591150.89355,30603539119.08684
